Date,VTI,VEA,BND,BNDX,FZROX,VFIDX,VFSUX,^GSPC,^DJI,^IXIC,^NYA
2021-05-03,204.4942474,44.6917572,74.83667755,49.06067276,14.3294239,8.531384468,9.618556023,4192.660156,34113.23047,13895.12012,16325.24023
2021-05-04,202.9615784,44.14994049,74.93331909,49.13825989,14.21562195,8.539847374,9.618556023,4164.660156,34133.03125,13633.5,16289.26953
2021-05-05,202.9239655,44.67428207,74.9772644,49.13825989,14.21562195,8.548296928,9.618556023,4167.589844,34230.33984,13582.41992,16348.41016
2021-05-06,203.958313,45.04132462,75.01243591,49.1296463,14.30097294,8.556751251,9.627324104,4201.620117,34548.53125,13632.83984,16459.59961
2021-05-07,205.6884003,45.56567383,75.02121735,49.06928635,14.42425728,8.565207481,9.627324104,4232.600098,34777.76172,13752.24023,16590.42969
2021-05-10,203.2718506,45.32971573,74.84545898,49.06067276,14.24407291,8.548296928,9.627324104,4188.430176,34742.82031,13401.86035,16516.83008
2021-05-11,201.6357574,44.78789139,74.6960144,48.94859695,14.13975525,8.539847374,9.627324104,4152.100098,34269.16016,13389.42969,16355.62012
2021-05-12,197.0941772,44.00138855,74.43238068,48.81068039,13.81731987,8.506020546,9.609787941,4063.040039,33587.66016,13031.67969,16042.96973
2021-05-13,199.2662354,44.30724335,74.58178711,48.82791138,13.97853661,8.522930145,9.618556023,4112.5,34021.44922,13124.99023,16181.62988
2021-05-14,202.6700897,45.01511383,74.75752258,48.88825989,14.21562195,8.539847374,9.627324104,4173.850098,34382.12891,13429.98047,16415.35938
2021-05-17,202.2375336,44.94520187,74.68723297,48.81930542,14.1776886,8.531384468,9.618556023,4163.290039,34327.78906,13379.0498,16422.96094
2021-05-18,200.6578674,45.10250092,74.6081543,48.81930542,14.07337093,8.531384468,9.618556023,4127.830078,34060.66016,13303.63965,16337.73047
2021-05-19,200.0749054,44.70050049,74.52902985,48.76756668,14.02595425,8.514475822,9.618556023,4115.680176,33896.03906,13299.74023,16233.32031
